66,AR_L500_p2_nm_1_5,"synthetic,AR",500
67,AR_L500_p6_nm_0.2_3,"synthetic,AR",500
68,AR_L500_p8_nm_0.8_5,"synthetic,AR",500
69,AR_L7500_p5_nm_0.6_5,"synthetic,AR",7500
70,AR_L7500_p6_nm_1_4,"synthetic,AR",7500
71,FL_ddp_L1000_N5000_IC_0.1_0.1_x,"synthetic,dynsys,ddp",5000
72,FL_ddp_L1000_N5000_IC_0.2_0_x,"synthetic,dynsys,ddp",5000
73,FL_ddp_L300_N10000_IC_0.1_0.2_y,"synthetic,dynsys,ddp",10000
74,FL_ddp_L300_N10000_IC_0_0_x,"synthetic,dynsys,ddp",10000
75,FL_ddp_L300_N5000_IC_0.1_0.1_y,"synthetic,dynsys,ddp",5000
76,FL_ddp_L5000_N1000_IC_0.1_0.1_x,"synthetic,dynsys,ddp",1000
77,FL_diffnlorenz_L1000_N10000_IC_1_-1_0.01_x,"synthetic,dynsys,chaos,diffnlorenz",10000
78,FL_diffnlorenz_L1000_N5000_IC_1_-1_0.01_y,"synthetic,dynsys,chaos,diffnlorenz",5000
79,FL_diffnlorenz_L2500_N10000_IC_1.1_-1.1_0.01_x,"synthetic,dynsys,chaos,diffnlorenz",10000
80,FL_dufftwowell_L1000_N10000_IC_0.3_0_x,"synthetic,dynsys,dufftwowell",10000
81,FL_dufftwowell_L1000_N1000_IC_0.3_0_y,"synthetic,dynsys,dufftwowell",1000
82,FL_dufftwowell_L1000_N5000_IC_0.25_0_x,"synthetic,dynsys,dufftwowell",5000
83,FL_dufftwowell_L1000_N5000_IC_0.2_0_y,"synthetic,dynsys,dufftwowell",5000
84,FL_dufftwowell_L1000_N5000_IC_0.3_0_x,"synthetic,dynsys,dufftwowell",5000
85,FL_dufftwowell_L300_N1000_IC_0.25_0_x,"synthetic,dynsys,dufftwowell",1000
86,FL_dufftwowell_L5000_N5000_IC_0.2_0_y,"synthetic,dynsys,dufftwowell",5000
87,FL_duffvdp_L1000_N10000_IC_0.2_-0.25_y,"synthetic,dynsys,duffvdp",10000
88,FL_duffvdp_L1000_N5000_IC_0.2_-0.2_y,"synthetic,dynsys,duffvdp",5000
89,FL_duffvdp_L300_N10000_IC_0.25_-0.2_x,"synthetic,dynsys,duffvdp",10000
90,FL_duffvdp_L300_N10000_IC_0.2_-0.25_y,"synthetic,dynsys,duffvdp",10000
91,FL_duffvdp_L300_N1000_IC_0.25_-0.25_y,"synthetic,dynsys,duffvdp",1000
92,FL_duffvdp_L300_N1000_IC_0.2_-0.25_x,"synthetic,dynsys,duffvdp",1000
93,FL_duffvdp_L5000_N5000_IC_0.25_-0.2_x,"synthetic,dynsys,duffvdp",5000
94,FL_dvdp_L1000_N5000_IC_-1.9_0.2_x,"synthetic,dynsys,dvdp",5000
95,FL_dvdp_L300_N10000_IC_-1.9_0.2_y,"synthetic,dynsys,dvdp",10000
96,FL_dvdp_L300_N1000_IC_-1.7_0_x,"synthetic,dynsys,dvdp",1000
97,FL_dvdp_L5000_N10000_IC_-1.7_0_y,"synthetic,dynsys,dvdp",10000
98,FL_dvdp_L5000_N1000_IC_-1.7_0_y,"synthetic,dynsys,dvdp",1000
99,FL_dvdp_L5000_N1000_IC_-1.9_0.2_x,"synthetic,dynsys,dvdp",1000
100,FL_fbruss_L300_N10000_IC_0.3_2_x,"synthetic,dynsys,fbruss",10000
101,FL_fbruss_L300_N10000_IC_0.3_2_y,"synthetic,dynsys,fbruss",10000
102,FL_fbruss_L300_N1000_IC_0.3_2_x,"synthetic,dynsys,fbruss",1000
103,FL_fbruss_L300_N5000_IC_0.3_2_y,"synthetic,dynsys,fbruss",5000
104,FL_fbruss_L5000_N10000_IC_0.3_2_x,"synthetic,dynsys,fbruss",10000
105,FL_lorenz_L1000_N5000_IC_0_-0.01_9_x,"synthetic,dynsys,chaos,lorenz",5000
106,FL_lorenz_L250_N10000_IC_0_-0.01_9.1_y,"synthetic,dynsys,chaos,lorenz",10000
107,FL_lorenz_L250_N1000_IC_0_-0.01_9.1_x,"synthetic,dynsys,chaos,lorenz",1000
108,FL_lorenz_L250_N1000_IC_0_-0.01_9_x,"synthetic,dynsys,chaos,lorenz",1000
109,FL_lorenz_L500_N1000_IC_0_-0.01_9.1_y,"synthetic,dynsys,chaos,lorenz",1000
110,FL_lorenz_L500_N5000_IC_0_-0.01_9.1_y,"synthetic,dynsys,chaos,lorenz",5000
111,FL_rayduff_L1000_N1000_IC_0.35_0_x,"synthetic,dynsys,chaos,rayduff",1000
112,FL_rayduff_L1000_N1000_IC_0.3_0_x,"synthetic,dynsys,chaos,rayduff",1000
113,FL_rayduff_L300_N1000_IC_0.35_0_y,"synthetic,dynsys,chaos,rayduff",1000
114,FL_rayduff_L300_N5000_IC_0.3_0_x,"synthetic,dynsys,chaos,rayduff",5000
115,FL_rayduff_L300_N5000_IC_0.4_0_x,"synthetic,dynsys,chaos,rayduff",5000
116,FL_rayduff_L5000_N1000_IC_0.35_0_y,"synthetic,dynsys,chaos,rayduff",1000
117,FL_rayduff_L5000_N1000_IC_0.3_0_x,"synthetic,dynsys,chaos,rayduff",1000
118,FL_rayduff_L5000_N5000_IC_0.4_0_x,"synthetic,dynsys,chaos,rayduff",5000
119,FL_rossler_L250_N5000_IC_-9.1_0_0_x,"synthetic,dynsys,chaos,Rossler",5000
120,FL_shawvdp_L1000_N1000_IC_1.4_0.1_y,"synthetic,dynsys,shawvdp",1000
121,FL_shawvdp_L1000_N5000_IC_1.3_0_x,"synthetic,dynsys,shawvdp",5000
122,FL_shawvdp_L300_N10000_IC_1.4_0.1_x,"synthetic,dynsys,shawvdp",10000
123,FL_shawvdp_L300_N1000_IC_1.3_0.1_y,"synthetic,dynsys,shawvdp",1000
124,FL_shawvdp_L300_N1000_IC_1.4_0.1_y,"synthetic,dynsys,shawvdp",1000
125,FL_shawvdp_L300_N5000_IC_1.3_0.1_x,"synthetic,dynsys,shawvdp",5000
126,FL_shawvdp_L5000_N10000_IC_1.3_0_y,"synthetic,dynsys,shawvdp",10000
127,FL_shawvdp_L5000_N5000_IC_1.3_0.1_y,"synthetic,dynsys,shawvdp",5000
128,FL_ueda_L1000_N10000_IC_2.5_0_x,"synthetic,dynsys,ueda",10000
129,FL_ueda_L1000_N10000_IC_2.5_0_y,"synthetic,dynsys,ueda",10000
130,FL_ueda_L1000_N5000_IC_2.5_0_x,"synthetic,dynsys,ueda",5000
131,FL_ueda_L1000_N5000_IC_2.5_0_y,"synthetic,dynsys,ueda",5000
132,FL_ueda_L300_N10000_IC_2.5_0_x,"synthetic,dynsys,ueda",10000
133,FL_ueda_L300_N10000_IC_2.5_0_y,"synthetic,dynsys,ueda",10000
134,FL_ueda_L5000_N1000_IC_2.5_0_x,"synthetic,dynsys,ueda",1000
135,FL_ueda_L5000_N1000_IC_2.5_0_y,"synthetic,dynsys,ueda",1000
136,FL_ueda_L5000_N5000_IC_2.5_0_x,"synthetic,dynsys,ueda",5000
137,MP_Caoperiodic_L10000_1,"synthetic,map,caoperiodic",10000
138,MP_Caoperiodic_L10000_2,"synthetic,map,caoperiodic",10000
139,MP_Caoperiodic_L10000_5,"synthetic,map,caoperiodic",10000
140,MP_Caoperiodic_L1000_2,"synthetic,map,caoperiodic",1000
141,MP_Caoperiodic_L1000_3,"synthetic,map,caoperiodic",1000
142,MP_Caoperiodic_L1000_5,"synthetic,map,caoperiodic",1000
143,MP_Caoperiodic_L300_3,"synthetic,map,caoperiodic",300
144,MP_Caoperiodic_L300_4,"synthetic,map,caoperiodic",300
145,MP_Caoperiodic_L5000_1,"synthetic,map,caoperiodic",5000
146,MP_asslogistic_4.10,"synthetic,map,chaos,asslogistic",5000
147,MP_asslogistic_4.20,"synthetic,map,chaos,asslogistic",5000
148,MP_asslogistic_4.25,"synthetic,map,chaos,asslogistic",5000
149,MP_asslogistic_4.30,"synthetic,map,chaos,asslogistic",5000
150,MP_asslogistic_4.55,"synthetic,map,chaos,asslogistic",5000
151,MP_asslogistic_4.70,"synthetic,map,chaos,asslogistic",5000
152,MP_asslogistic_4.75,"synthetic,map,chaos,asslogistic",5000
153,MP_burgers_L10000_IC_-0.1_0.1_x,"synthetic,map,burgers",10000
154,MP_burgers_L10000_IC_-0.2_0.1_x,"synthetic,map,burgers",10000
155,MP_burgers_L1000_IC_-0.1_0.1_y,"synthetic,map,burgers",1000
156,MP_burgers_L1000_IC_-0.1_0.2_x,"synthetic,map,burgers",1000
157,MP_burgers_L1000_IC_-0.2_0.1_y,"synthetic,map,burgers",1000
158,MP_burgers_L300_IC_-0.2_0.1_x,"synthetic,map,burgers",300
159,MP_burgers_L5000_IC_-0.1_0.2_x,"synthetic,map,burgers",5000
160,MP_burgers_L5000_IC_-0.2_0.2_y,"synthetic,map,burgers",5000
161,MP_chaoticweb_L1000_IC_0_2.98_x,"synthetic,map,chaos,chaoticweb",1000
162,MP_chaoticweb_L1000_IC_0_3.01_x,"synthetic,map,chaos,chaoticweb",1000
163,MP_chaoticweb_L300_IC_0_2.98_x,"synthetic,map,chaos,chaoticweb",300
164,MP_chaoticweb_L300_IC_0_3.01_x,"synthetic,map,chaos,chaoticweb",300
165,MP_chaoticweb_L5000_IC_0_2.99_x,"synthetic,map,chaos,chaoticweb",5000
166,MP_chirikov_L10000_IC_0.1_6.1_y,"synthetic,map,chirikov",10000
167,MP_chirikov_L10000_IC_0.1_6_x,"synthetic,map,chirikov",10000
168,MP_chirikov_L10000_IC_0.2_6_y,"synthetic,map,chirikov",10000
169,MP_chirikov_L10000_IC_0_6.1_x,"synthetic,map,chirikov",10000
170,MP_chirikov_L1000_IC_0.1_6.1_y,"synthetic,map,chirikov",1000
171,MP_chirikov_L1000_IC_0.1_6_y,"synthetic,map,chirikov",1000
172,MP_chirikov_L1000_IC_0.2_6_x,"synthetic,map,chirikov",1000
173,MP_chirikov_L1000_IC_0_6_x,"synthetic,map,chirikov",1000
174,MP_chirikov_L300_IC_0.1_6.1_x,"synthetic,map,chirikov",300
175,MP_chirikov_L300_IC_0.2_6_y,"synthetic,map,chirikov",300
176,MP_chirikov_L5000_IC_0.1_6.2_x,"synthetic,map,chirikov",5000
177,MP_cubic_L1000_A2.55,"synthetic,map,cubic",1000
178,MP_cubic_L1000_A2.65,"synthetic,map,cubic",1000
179,MP_cubic_L1000_A2.7,"synthetic,map,cubic",1000
180,MP_cubic_L300_A2.5,"synthetic,map,cubic",300
181,MP_cubic_L300_A2.6,"synthetic,map,cubic",300
182,MP_cubic_L300_A2.7,"synthetic,map,cubic",300
183,MP_cubic_L5000_A2.7,"synthetic,map,cubic",5000
184,MP_cubic_L5000_A2.85,"synthetic,map,cubic",5000
185,MP_cusp_L10000_A1.95_x0_0.25,"synthetic,map,cusp",10000
186,MP_cusp_L10000_A1.95_x0_0.82,"synthetic,map,cusp",10000
187,MP_cusp_L1000_A1.9_x0_0.98,"synthetic,map,cusp",1000
188,MP_cusp_L1000_A2_x0_0.42,"synthetic,map,cusp",1000
189,MP_cusp_L300_A1.95_x0_0.56,"synthetic,map,cusp",300
190,MP_cusp_L300_A1.9_x0_0.56,"synthetic,map,cusp",300
191,MP_cusp_L300_A2_x0_0.53,"synthetic,map,cusp",300
192,MP_cusp_L300_A2_x0_0.98,"synthetic,map,cusp",300
193,MP_dissstd_L10000_IC_0.1_0.05_y,"synthetic,map,dissstd",10000
